question_id,answer_version,baseline_forward_winner,baseline_reverse_winner,baseline_consistent,baseline_merged_winner,baseline_forced_tie,reason_forward_winner,reason_reverse_winner,reason_consistent,reason_merged_winner,reason_forced_tie
81,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
82,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
83,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
84,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
85,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
86,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
87,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
88,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
89,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
90,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
91,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
93,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
94,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
95,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
96,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
97,v3,weak,weak,True,weak,False,weak,weak,True,weak,False
98,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
99,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
100,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
101,v3,strong,tie,False,tie,True,strong,tie,False,tie,True
102,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
103,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
104,v3,tie,tie,True,tie,False,strong,tie,False,tie,True
105,v3,tie,tie,True,tie,False,tie,tie,True,tie,False
106,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
108,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
110,v3,strong,tie,False,tie,True,strong,strong,True,strong,False
111,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
112,v3,strong,strong,True,strong,False,strong,tie,False,tie,True
113,v3,tie,tie,True,tie,False,strong,strong,True,strong,False
117,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
118,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
119,v3,tie,tie,True,tie,False,tie,tie,True,tie,False
121,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
123,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
124,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
125,v3,strong,strong,True,strong,False,strong,tie,False,tie,True
127,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
128,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
131,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
132,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
134,v3,strong,tie,False,tie,True,strong,tie,False,tie,True
135,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
136,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
137,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
139,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
140,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
141,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
143,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
145,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
147,v3,weak,weak,True,weak,False,strong,weak,False,tie,True
148,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
149,v3,strong,weak,False,tie,True,strong,strong,True,strong,False
150,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
151,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
152,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
153,v3,strong,strong,True,strong,False,strong,weak,False,tie,True
154,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
156,v3,strong,weak,False,tie,True,strong,weak,False,tie,True
158,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
160,v3,strong,strong,True,strong,False,strong,strong,True,strong,False
