question_id,answer_version,baseline_forward_winner,baseline_reverse_winner,baseline_consistent,baseline_merged_winner,baseline_forced_tie,reason_forward_winner,reason_reverse_winner,reason_consistent,reason_merged_winner,reason_forced_tie
81,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
82,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
84,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
86,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
87,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
88,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
89,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
90,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
92,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
93,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
94,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
96,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
97,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
98,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
99,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
100,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
101,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
102,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
103,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
104,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
105,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
106,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
109,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
111,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
112,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
113,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
114,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
116,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
117,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
118,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
119,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
120,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
121,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
122,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
123,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
124,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
125,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
127,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
128,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
129,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
131,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
132,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
133,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
134,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
135,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
136,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
137,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
139,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
140,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
141,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
142,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
143,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
144,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
145,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
147,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
148,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
149,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
150,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
151,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
152,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
154,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
155,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
156,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
157,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
158,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
159,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
160,v4,strong,strong,True,strong,False,strong,strong,True,strong,False
