question_id,answer_version,baseline_forward_winner,baseline_reverse_winner,baseline_consistent,baseline_merged_winner,baseline_forced_tie,reason_forward_winner,reason_reverse_winner,reason_consistent,reason_merged_winner,reason_forced_tie
81,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
82,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
83,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
84,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
86,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
87,v2,strong,tie,False,tie,True,strong,strong,True,strong,False
88,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
90,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
91,v2,strong,tie,False,tie,True,strong,strong,True,strong,False
93,v2,tie,strong,False,tie,True,strong,strong,True,strong,False
94,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
95,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
97,v2,strong,tie,False,tie,True,strong,strong,True,strong,False
98,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
99,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
100,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
101,v2,tie,tie,True,tie,False,tie,tie,True,tie,False
102,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
103,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
104,v2,strong,strong,True,strong,False,tie,strong,False,tie,True
105,v2,tie,strong,False,tie,True,tie,tie,True,tie,False
106,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
107,v2,tie,tie,True,tie,False,strong,tie,False,tie,True
108,v2,tie,tie,True,tie,False,tie,tie,True,tie,False
109,v2,strong,tie,False,tie,True,strong,tie,False,tie,True
110,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
111,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
112,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
114,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
115,v2,tie,tie,True,tie,False,tie,strong,False,tie,True
116,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
117,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
120,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
121,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
122,v2,tie,strong,False,tie,True,strong,tie,False,tie,True
123,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
124,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
125,v2,strong,tie,False,tie,True,tie,strong,False,tie,True
127,v2,tie,tie,True,tie,False,tie,tie,True,tie,False
129,v2,tie,tie,True,tie,False,tie,tie,True,tie,False
130,v2,tie,tie,True,tie,False,tie,tie,True,tie,False
131,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
132,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
133,v2,strong,strong,True,strong,False,strong,tie,False,tie,True
134,v2,tie,tie,True,tie,False,tie,tie,True,tie,False
135,v2,strong,tie,False,tie,True,strong,strong,True,strong,False
136,v2,tie,tie,True,tie,False,tie,tie,True,tie,False
137,v2,strong,strong,True,strong,False,strong,tie,False,tie,True
138,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
139,v2,strong,strong,True,strong,False,strong,tie,False,tie,True
140,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
141,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
142,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
143,v2,tie,tie,True,tie,False,tie,strong,False,tie,True
144,v2,tie,tie,True,tie,False,strong,strong,True,strong,False
145,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
146,v2,tie,tie,True,tie,False,strong,strong,True,strong,False
148,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
149,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
151,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
152,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
153,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
155,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
156,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
157,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
158,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
159,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
160,v2,strong,strong,True,strong,False,strong,strong,True,strong,False
